Price,Bedroom,Bathroom,Floors,Area,Road_Width,Amenities_Count,Property_Age,City_Bhaktapur,City_Chitwan,City_Dharan,City_Jhapa,City_Kathmandu,City_Lalitpur,City_Nawalparasi,City_Pokhara,Road_Type_Gravelled,Road_Type_Paved,Road_Type_Soil Stabilized,Neighborhood_encoded
2100000.0,0,0,3.0,5.0,20.0,2,8,1,0,0,0,0,0,0,0,1,0,0,0.0001934610176049526
45000000.0,4,4,3.0,11.0,22.0,13,8,0,0,0,0,1,0,0,0,0,0,1,0.16927839040433354
12500000.0,2,1,1.5,3.0,13.0,3,6,0,0,0,0,0,1,0,0,1,0,0,0.0036757593344940993
19000000.0,4,3,2.5,3.5,13.0,9,6,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
32000000.0,0,0,3.0,10.0,20.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0025149932288643837
15500000.0,2,1,1.5,4.0,20.0,0,6,0,0,0,0,1,0,0,0,1,0,0,0.0003869220352099052
3000000.0,0,0,3.0,12.0,16.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.16927839040433354
2350000.0,0,0,3.0,5.0,13.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0023215322112594312
4100000.0,0,0,3.0,4.0,13.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.14025923776359064
200000.0,0,0,3.0,10.0,20.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0001934610176049526
3500000.0,0,0,3.0,6.1,12.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0013542271232346683
30000.0,2,1,3.0,4.0,11.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.16927839040433354
1500000.0,0,0,3.0,7.0,58.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
1100000.0,0,0,3.0,4.0,10.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0013542271232346683
8500000.0,0,0,3.0,5.5,13.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0032888372992841944
2850000.0,0,0,3.0,4.0,10.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0013542271232346683
1450000.0,0,0,3.0,5.0,20.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0003869220352099052
3500000.0,0,0,3.0,10.0,30.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.16927839040433354
1000000.0,0,0,3.0,3.0,26.0,1,8,0,0,0,0,1,0,0,0,0,0,1,0.0001934610176049526
4200000.0,0,0,3.0,8.0,15.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.14025923776359064
20000.0,2,1,3.0,5.5,18.0,4,8,0,0,0,0,1,0,0,0,0,0,1,0.0001934610176049526
2100000.0,0,0,3.0,6.0,0.0,0,8,1,0,0,0,0,0,0,0,0,0,1,0.0021280711936544788
32000.0,2,2,5.0,2.92184076,10.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0001934610176049526
3500000.0,0,0,3.0,4.5,22.96588,0,8,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
75000.0,7,7,3.0,9.0,13.0,1,12,0,0,0,0,1,0,0,0,0,1,0,0.006190752563358483
30000.0,1,1,3.0,10.0,0.0,4,8,0,0,0,0,1,0,0,0,0,0,1,0.003482298316889147
2450000.0,0,0,3.0,5.0,16.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0023215322112594312
2500000.0,0,0,3.0,9.0,15.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.006190752563358483
35000.0,0,0,5.0,9.0,72.0,10,69,0,0,0,0,0,1,0,0,0,1,0,0.0003869220352099052
5700000.0,0,0,3.0,4.0,15.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0003869220352099052
3000000.0,0,0,3.0,5.0,13.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.14025923776359064
60000.0,0,2,4.5,2.483564646,65.6168,3,6,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
